x,y,z
0, 0, 0.0110451
0, 0.0625, 0.0179152
0, 0.125, 0.0193705
0, 0.1875, 0.0163534
0, 0.25, 0.00996418
0, 0.3125, 0.00155826
0, 0.375, -0.00734265
0, 0.4375, -0.0152204
0, 0.5, -0.0207546
0, 0.5625, -0.0229981
0, 0.625, -0.0215026
0, 0.6875, -0.0163685
0, 0.75, -0.00821094
0, 0.8125, 0.00195721
0, 0.875, 0.01291
0, 0.9375, 0.0234364
0, 1, 0.0325866

0.0625, 0, 0.383039
0.0625, 0.0625, 0.360904
0.0625, 0.125, 0.281596
0.0625, 0.1875, 0.158055
0.0625, 0.25, 0.00964084
0.0625, 0.3125, -0.140703
0.0625, 0.375, -0.269862
0.0625, 0.4375, -0.358017
0.0625, 0.5, -0.391631
0.0625, 0.5625, -0.365484
0.0625, 0.625, -0.283453
0.0625, 0.6875, -0.157901
0.0625, 0.75, -0.00777506
0.0625, 0.8125, 0.144297
0.0625, 0.875, 0.275485
0.0625, 0.9375, 0.366273
0.0625, 1, 0.403469

0.125, 0, 0.701793
0.125, 0.0625, 0.653413
0.125, 0.125, 0.504182
0.125, 0.1875, 0.277306
0.125, 0.25, 0.00767469
0.125, 0.3125, -0.263427
0.125, 0.375, -0.494565
0.125, 0.4375, -0.650437
0.125, 0.5, -0.707225
0.125, 0.5625, -0.656202
0.125, 0.625, -0.505053
0.125, 0.6875, -0.276681
0.125, 0.75, -0.00571294
0.125, 0.8125, 0.266796
0.125, 0.875, 0.499641
0.125, 0.9375, 0.657783
0.125, 1, 0.717744

0.1875, 0, 0.916804
0.1875, 0.0625, 0.84934
0.1875, 0.125, 0.652168
0.1875, 0.1875, 0.355439
0.1875, 0.25, 0.00444435
0.1875, 0.3125, -0.347293
0.1875, 0.375, -0.646157
0.1875, 0.4375, -0.846599
0.1875, 0.5, -0.918059
0.1875, 0.5625, -0.849613
0.1875, 0.625, -0.651631
0.1875, 0.6875, -0.354183
0.1875, 0.75, -0.00245754
0.1875, 0.8125, 0.350137
0.1875, 0.875, 0.650124
0.1875, 0.9375, 0.852131
0.1875, 1, 0.925853

0.25, 0, 0.994182
0.25, 0.0625, 0.917814
0.25, 0.125, 0.702275
0.25, 0.1875, 0.380187
0.25, 0.25, 0.00047626
0.25, 0.3125, -0.379113
0.25, 0.375, -0.70083
0.25, 0.4375, -0.915714
0.25, 0.5, -0.991062
0.25, 0.5625, -0.915401
0.25, 0.625, -0.700239
0.25, 0.6875, -0.378312
0.25, 0.75, 0.00140844
0.25, 0.8125, 0.381169
0.25, 0.875, 0.703244
