x,y,z
0, 0, 0.00278143
0, 0.03125, 0.00386353
0, 0.0625, 0.00455246
0, 0.09375, 0.00489259
0, 0.125, 0.00491568
0, 0.15625, 0.00465235
0, 0.1875, 0.00413602
0, 0.21875, 0.00340426
0, 0.25, 0.00249892
0, 0.28125, 0.0014656
0, 0.3125, 0.000352594
0, 0.34375, -0.000790414
0, 0.375, -0.00191382
0, 0.40625, -0.00296969
0, 0.4375, -0.00391337
0, 0.46875, -0.00470494
0, 0.5, -0.0053106
0, 0.53125, -0.0057038
0, 0.5625, -0.0058661
0, 0.59375, -0.00578778
0, 0.625, -0.00546799
0, 0.65625, -0.00491475
0, 0.6875, -0.00414436
0, 0.71875, -0.0031807
0, 0.75, -0.00205408
0, 0.78125, -0.000799847
0, 0.8125, 0.000543212
0, 0.84375, 0.00193461
0, 0.875, 0.00333403
0, 0.90625, 0.00470311
0, 0.9375, 0.00600719
0, 0.96875, 0.00721672
0, 1, 0.00830859

0.03125, 0, 0.196321
0.03125, 0.03125, 0.193654
0.03125, 0.0625, 0.183324
0.03125, 0.09375, 0.165783
0.03125, 0.125, 0.141745
0.03125, 0.15625, 0.112163
0.03125, 0.1875, 0.0781969
0.03125, 0.21875, 0.0411694
0.03125, 0.25, 0.00251724
0.03125, 0.28125, -0.0362635
0.03125, 0.3125, -0.073674
0.03125, 0.34375, -0.10827
0.03125, 0.375, -0.138715
0.03125, 0.40625, -0.163836
0.03125, 0.4375, -0.182662
0.03125, 0.46875, -0.194467
0.03125, 0.5, -0.198793
0.03125, 0.53125, -0.195471
0.03125, 0.5625, -0.184625
0.03125, 0.59375, -0.166669
0.03125, 0.625, -0.142288
0.03125, 0.65625, -0.112416
0.03125, 0.6875, -0.0781945
0.03125, 0.71875, -0.0409336
0.03125, 0.75, -0.00205832
0.03125, 0.78125, 0.0369456
0.03125, 0.8125, 0.0745887
0.03125, 0.84375, 0.109436
0.03125, 0.875, 0.140161
0.03125, 0.90625, 0.1656
0.03125, 0.9375, 0.184793
0.03125, 0.96875, 0.197023
0.03125, 1, 0.201844

0.0625, 0, 0.382744
0.0625, 0.03125, 0.376399
0.0625, 0.0625, 0.355406
0.0625, 0.09375, 0.32061
0.0625, 0.125, 0.273378
0.0625, 0.15625, 0.215553
0.0625, 0.1875, 0.149376
0.0625, 0.21875, 0.0774066
0.0625, 0.25, 0.00242269
0.0625, 0.28125, -0.0726839
0.0625, 0.3125, -0.145019
0.0625, 0.34375, -0.211796
0.0625, 0.375, -0.270443
0.0625, 0.40625, -0.318703
0.0625, 0.4375, -0.354716
