x,y,z
0, 0, 0.0426467
0, 0.125, 0.0731492
0, 0.25, 0.0392367
0, 0.375, -0.0249996
0, 0.5, -0.0760275
0, 0.625, -0.0806136
0, 0.75, -0.0326194
0, 0.875, 0.0456351
0, 1, 0.119921

0.125, 0, 0.688124
0.125, 0.125, 0.516407
0.125, 0.25, 0.0299564
0.125, 0.375, -0.478312
0.125, 0.5, -0.70678
0.125, 0.625, -0.519134
0.125, 0.75, -0.0224814
0.125, 0.875, 0.497099
0.125, 1, 0.744717

0.25, 0, 0.97697
0.25, 0.125, 0.688486
0.25, 0.25, 0.00188431
0.25, 0.375, -0.682941
0.25, 0.5, -0.965647
0.25, 0.625, -0.680748
0.25, 0.75, 0.00533804
0.25, 0.875, 0.692042
0.25, 1, 0.980101

0.375, 0, 0.71208
0.375, 0.125, 0.470684
0.375, 0.25, -0.0279643
0.375, 0.375, -0.50169
0.375, 0.5, -0.677721
0.375, 0.625, -0.455549
0.375, 0.75, 0.032539
0.375, 0.875, 0.497631
0.375, 1, 0.661679

0.5, 0, 0.036278
0.5, 0.125, -0.0183513
0.5, 0.25, -0.042126
0.5, 0.375, -0.0322191
0.5, 0.5, 7.27405e-16
0.5, 0.625, 0.0322191
0.5, 0.75, 0.042126
0.5, 0.875, 0.0183513
0.5, 1, -0.036278

0.625, 0, -0.661679
0.625, 0.125, -0.497631
0.625, 0.25, -0.032539
0.625, 0.375, 0.455549
0.625, 0.5, 0.677721
0.625, 0.625, 0.50169
0.625, 0.75, 0.0279643
0.625, 0.875, -0.470684
0.625, 1, -0.71208

0.75, 0, -0.980101
0.75, 0.125, -0.692042
0.75, 0.25, -0.00533804
0.75, 0.375, 0.680748
0.75, 0.5, 0.965647
0.75, 0.625, 0.682941
0.75, 0.75, -0.00188431
0.75, 0.875, -0.688486
0.75, 1, -0.97697

0.875, 0, -0.744717
0.875, 0.125, -0.497099
0.875, 0.25, 0.0224814
0.875, 0.375, 0.519134
0.875, 0.5, 0.70678
0.875, 0.625, 0.478312
0.875, 0.75, -0.0299564
0.875, 0.875, -0.516407
0.875, 1, -0.688124

1, 0, -0.119921
1, 0.125, -0.0456351
1, 0.25, 0.0326194
1, 0.375, 0.0806136
1, 0.5, 0.0760275
1, 0.625, 0.0249996
1, 0.75, -0.0392367
1, 0.875, -0.0731492
1, 1, -0.0426467
