x,y,z
0, 0, 0.000696166
0, 0.015625, 0.000846691
0, 0.03125, 0.000969614
0, 0.046875, 0.00106774
0, 0.0625, 0.00114274
0, 0.078125, 0.00119583
0, 0.09375, 0.00122802
0, 0.109375, 0.00124027
0, 0.125, 0.00123354
0, 0.140625, 0.0012088
0, 0.15625, 0.00116706
0, 0.171875, 0.00110942
0, 0.1875, 0.00103702
0, 0.203125, 0.000951077
0, 0.21875, 0.000852881
0, 0.234375, 0.000743782
0, 0.25, 0.000625192
0, 0.265625, 0.000498572
0, 0.28125, 0.000365427
0, 0.296875, 0.000227293
0, 0.3125, 8.57301e-05
0, 0.328125, -5.76918e-05
0, 0.34375, -0.000201405
0, 0.359375, -0.000343854
0, 0.375, -0.000483513
0, 0.390625, -0.000618894
0, 0.40625, -0.000748559
0, 0.421875, -0.000871135
0, 0.4375, -0.000985325
0, 0.453125, -0.00108992
0, 0.46875, -0.0011838
0, 0.484375, -0.00126596
0, 0.5, -0.0013355
0, 0.515625, -0.00139165
0, 0.53125, -0.00143377
0, 0.546875, -0.00146135
0, 0.5625, -0.00147401
0, 0.578125, -0.00147152
0, 0.59375, -0.00145379
0, 0.609375, -0.00142086
0, 0.625, -0.00137291
0, 0.640625, -0.00131028
0, 0.65625, -0.00123342
0, 0.671875, -0.00114289
0, 0.6875, -0.00103942
0, 0.703125, -0.000923789
0, 0.71875, -0.000796925
0, 0.734375, -0.000659824
0, 0.75, -0.000513569
0, 0.765625, -0.000359306
0, 0.78125, -0.000198239
0, 0.796875, -3.16094e-05
0, 0.8125, 0.000139312
0, 0.828125, 0.000313245
0, 0.84375, 0.000488909
0, 0.859375, 0.000665041
0, 0.875, 0.000840409
0, 0.890625, 0.00101383
0, 0.90625, 0.00118416
0, 0.921875, 0.00135033
0, 0.9375, 0.00151136
0, 0.953125, 0.00166631
0, 0.96875, 0.00181431
0, 0.984375, 0.00195455
0, 1, 0.0020862

0.015625, 0, 0.0985049
0.015625, 0.015625, 0.0981831
0.015625, 0.03125, 0.0968978
0.015625, 0.046875, 0.0946643
0.015625, 0.0625, 0.0915064
0.015625, 0.078125, 0.0874564
0.015625, 0.09375, 0.0825548
0.015625, 0.109375, 0.0768499
0.015625, 0.125, 0.0703979
0.015625, 0.140625, 0.0632618
0.015625, 0.15625, 0.055511
0.015625, 0.171875, 0.0472209
0.015625, 0.1875, 0.038472
0.015625, 0.203125, 0.029349
0.015625, 0.21875, 0.0199402
0.015625, 0.234375, 0.0103366
0.015625, 0.25, 0.000631226
0.015625, 0.265625, -0.0090823
0.015625, 0.28125, -0.0187101
0.015625, 0.296875, -0.0281592
0.015625, 0.3125, -0.0373383
0.015625, 0.328125, -0.0461589
0.015625, 0.34375, -0.0545358
0.015625, 0.359375, -0.0623882
0.015625, 0.375, -0.0696403
0.015625, 0.390625, -0.076222
0.015625, 0.40625, -0.08207
0.015625, 0.421875, -0.0871277
0.015625, 0.4375, -0.0913463
0.015625, 0.453125, -0.0946851
0.015625, 0.46875, -0.0971118
0.015625, 0.484375, -0.0986029
0.015625, 0.5, -0.099144
0.015625, 0.515625, -0.0987298
0.015625, 0.53125, -0.0973641
0.015625, 0.546875, -0.0950599
0.015625, 0.5625, -0.0918395
0.015625, 0.578125, -0.0877336
0.015625, 0.59375, -0.0827817
0.015625, 0.609375, -0.0770314
0.015625, 0.625, -0.0705378
0.015625, 0.640625, -0.0633635
0.015625, 0.65625, -0.0555773
0.015625, 0.671875, -0.047254
0.015625, 0.6875, -0.0384737
0.015625, 0.703125, -0.0293207
0.015625, 0.71875, -0.019883
0.015625, 0.734375, -0.0102512
0.015625, 0.75, -0.000517847
0.015625, 0.765625, 0.0092236
0.015625, 0.78125, 0.0188796
0.015625, 0.796875, 0.0283575
0.015625, 0.8125, 0.0375663
0.015625, 0.828125, 0.0464177
0.015625, 0.84375, 0.054827
0.015625, 0.859375, 0.0627134
0.015625, 0.875, 0.0700016
0.015625, 0.890625, 0.0766218
0.015625, 0.90625, 0.0825109
0.015625, 0.921875, 0.0876128
0.015625, 0.9375, 0.0918788
0.015625, 0.953125, 0.0952686
0.015625, 0.96875, 0.0977502
0.015625, 0.984375, 0.0993003
0.015625, 1, 0.0999044

0.03125, 0, 0.195397
0.03125, 0.015625, 0.194604
0.03125, 0.03125, 0.191921
0.03125, 0.046875, 0.187376
0.03125, 0.0625, 0.181014
0.03125, 0.078125, 0.172898
0.03125, 0.09375, 0.163108
0.03125, 0.109375, 0.151739
0.03125, 0.125, 0.138902
0.03125, 0.140625, 0.124721
0.03125, 0.15625, 0.109333
0.03125, 0.171875, 0.0928885
0.03125, 0.1875, 0.0755449
0.03125, 0.203125, 0.0574703
0.03125, 0.21875, 0.0388391
0.03125, 0.234375, 0.0198312
0.03125, 0.25, 0.000629977
0.03125, 0.265625, -0.0185793
0.03125, 0.28125, -0.0376114
0.03125, 0.296875, -0.0562827
0.03125, 0.3125, -0.0744132
0.03125, 0.328125, -0.0918281
0.03125, 0.34375, -0.10836
0.03125, 0.359375, -0.123848
0.03125, 0.375, -0.138144
0.03125, 0.390625, -0.151111
0.03125, 0.40625, -0.162622
0.03125, 0.421875, -0.172567
0.03125, 0.4375, -0.18085
0.03125, 0.453125, -0.187392
0.03125, 0.46875, -0.192128
0.03125, 0.484375, -0.195014
0.03125, 0.5, -0.196021
0.03125, 0.515625, -0.195141
0.03125, 0.53125, -0.19238
0.03125, 0.546875, -0.187765
0.03125, 0.5625, -0.181342
0.03125, 0.578125, -0.173171
0.03125, 0.59375, -0.163331
0.03125, 0.609375, -0.151917
0.03125, 0.625, -0.139039
0.03125, 0.640625, -0.12482
0.03125, 0.65625, -0.109397
0.03125, 0.671875, -0.0929194
0.03125, 0.6875, -0.0755446
0.03125, 0.703125, -0.0574401
0.03125, 0.71875, -0.0387801
0.03125, 0.734375, -0.0197439
0.03125, 0.75, -0.000514825
0.03125, 0.765625, 0.0187224
0.03125, 0.78125, 0.0377826
0.03125, 0.796875, 0.0564828
0.03125, 0.8125, 0.074643
0.03125, 0.828125, 0.0920888
0.03125, 0.84375, 0.108653
0.03125, 0.859375, 0.124175
0.03125, 0.875, 0.138508
0.03125, 0.890625, 0.151513
0.03125, 0.90625, 0.163065
0.03125, 0.921875, 0.173055
0.03125, 0.9375, 0.181386
0.03125, 0.953125, 0.187978
0.03125, 0.96875, 0.19277
0.03125, 0.984375, 0.195716
0.03125, 1, 0.196788

0.046875, 0, 0.290434
0.046875, 0.015625, 0.289177
0.046875, 0.03125, 0.285121
0.046875, 0.046875, 0.278306
0.046875, 0.0625, 0.2688
0.046875, 0.078125, 0.256695
0.046875, 0.09375, 0.242109
0.046875, 0.109375, 0.225184
0.046875, 0.125, 0.206084
0.046875, 0.140625, 0.184993
0.046875, 0.15625, 0.162115
0.046875, 0.171875, 0.137671
0.046875, 0.1875, 0.111898
0.046875, 0.203125, 0.0850438
0.046875, 0.21875, 0.0573674
0.046875, 0.234375, 0.0291359
0.046875, 0.25, 0.000621636
0.046875, 0.265625, -0.0279006
0.046875, 0.28125, -0.0561558
0.046875, 0.296875, -0.0838716
0.046875, 0.3125, -0.110781
0.046875, 0.328125, -0.136624
0.046875, 0.34375, -0.161153
0.046875, 0.359375, -0.18413
0.046875, 0.375, -0.205334
0.046875, 0.390625, -0.224561
0.046875, 0.40625, -0.241626
0.046875, 0.421875, -0.256364
0.046875, 0.4375, -0.268633
0.046875, 0.453125, -0.278315
0.046875, 0.46875, -0.285316
0.046875, 0.484375, -0.289569
0.046875, 0.5, -0.291033
0.046875, 0.515625, -0.289693
0.046875, 0.53125, -0.285563
0.046875, 0.546875, -0.278682
0.046875, 0.5625, -0.269117
0.046875, 0.578125, -0.256958
0.046875, 0.59375, -0.242324
0.046875, 0.609375, -0.225355
0.046875, 0.625, -0.206215
0.046875, 0.640625, -0.185086
0.046875, 0.65625, -0.162174
0.046875, 0.671875, -0.137698
0.046875, 0.6875, -0.111894
0.046875, 0.703125, -0.0850106
0.046875, 0.71875, -0.0573058
0.046875, 0.734375, -0.0290466
0.046875, 0.75, -0.00050471
0.046875, 0.765625, 0.0280451
0.046875, 0.78125, 0.0563282
0.046875, 0.796875, 0.0840726
0.046875, 0.8125, 0.111011
0.046875, 0.828125, 0.136885
0.046875, 0.84375, 0.161446
0.046875, 0.859375, 0.184457
0.046875, 0.875, 0.205697
0.046875, 0.890625, 0.224963
0.046875, 0.90625, 0.242069
0.046875, 0.921875, 0.256851
0.046875, 0.9375, 0.269167
0.046875, 0.953125, 0.278901
0.046875, 0.96875, 0.285957
0.046875, 0.984375, 0.290271
0.046875, 1, 0.2918

0.0625, 0, 0.382697
0.0625, 0.015625, 0.380988
0.0625, 0.03125, 0.375597
0.0625, 0.046875, 0.366578
0.0625, 0.0625, 0.354018
0.0625, 0.078125, 0.338039
0.0625, 0.09375, 0.318796
0.0625, 0.109375, 0.296476
0.0625, 0.125, 0.271295
0.0625, 0.140625, 0.243495
0.0625, 0.15625, 0.213346
0.0625, 0.171875, 0.181137
0.0625, 0.1875, 0.147181
0.0625, 0.203125, 0.111803
0.0625, 0.21875, 0.0753463
0.0625, 0.234375, 0.0381612
0.0625, 0.25, 0.000606437
0.0625, 0.265625, -0.0369561
0.0625, 0.28125, -0.0741642
0.0625, 0.296875, -0.11066
0.0625, 0.3125, -0.14609
0.0625, 0.328125, -0.180115
0.0625, 0.34375, -0.212406
